oly_game,event_title,event_gender,medal_type,athlete_full_name,country_name,country_code,year
athens-2004,105kg heavyweight men,Men,BRONZE,Gleb PISAREVSKIY,Russian Federation,RUS,2004
athens-2004,69kg men,Men,GOLD,Guozheng ZHANG,People's Republic of China,CHN,2004
athens-2004,69kg men,Men,SILVER,Bae-Yeong Lee,Republic of Korea,KOR,2004
athens-2004,69kg men,Men,BRONZE,Nikolay PECHALOV,Croatia,CRO,2004
athens-2004,56kg bantamweight men,Men,GOLD,Halil MUTLU,Turkey,TUR,2004
athens-2004,56kg bantamweight men,Men,SILVER,Meijin WU,People's Republic of China,CHN,2004
athens-2004,56kg bantamweight men,Men,BRONZE,Sedat ARTUC,Turkey,TUR,2004
sydney-2000,62kg featherweight men,Men,GOLD,Nikolay PECHALOV,Croatia,CRO,2000
sydney-2000,62kg featherweight men,Men,SILVER,Leonidas SAMPANIS,Greece,GRE,2000
sydney-2000,62kg featherweight men,Men,BRONZE,Gennady OLESHCHUK,Belarus,BLR,2000
sydney-2000,94kg men,Men,GOLD,Akakios KAKIASVILIS,Greece,GRE,2000
sydney-2000,94kg men,Men,SILVER,Szymon KOLECKI,Poland,POL,2000
sydney-2000,94kg men,Men,BRONZE,Aleksey PETROV,Russian Federation,RUS,2000
sydney-2000,+75kg women,Women,GOLD,Meiyuan DING,People's Republic of China,CHN,2000
sydney-2000,+75kg women,Women,SILVER,Agata WROBEL,Poland,POL,2000
sydney-2000,+75kg women,Women,BRONZE,Cheryl HAWORTH,United States of America,USA,2000
sydney-2000,69kg women,Women,GOLD,Weining LIN,People's Republic of China,CHN,2000
sydney-2000,69kg women,Women,SILVER,Erzsebet PERESZTEGINE MARKUS,Hungary,HUN,2000
sydney-2000,69kg women,Women,BRONZE,Karnam MALLESWARI,India,IND,2000
sydney-2000,58kg women,Women,GOLD,Soraya JIMENEZ MENDIVIL,Mexico,MEX,2000
sydney-2000,58kg women,Women,SILVER,Song Hui RI,Democratic People's Republic of Korea,PRK,2000
sydney-2000,58kg women,Women,BRONZE,Khassaraporn SUTA,Thailand,THA,2000
sydney-2000,48kg women,Women,GOLD,Tara NOTT,United States of America,USA,2000
sydney-2000,48kg women,Women,SILVER,Raema Lisa RUMBEWAS,Indonesia,INA,2000
sydney-2000,48kg women,Women,BRONZE,Sri INDRIYANI,Indonesia,INA,2000
sydney-2000,77kg men,Men,GOLD,Xugang ZHAN,People's Republic of China,CHN,2000
sydney-2000,77kg men,Men,SILVER,Viktor MITROU,Greece,GRE,2000
sydney-2000,77kg men,Men,BRONZE,Arsen MELIKYAN,Armenia,ARM,2000
sydney-2000,75kg women,Women,GOLD,Maria Isabel URRUTIA,Colombia,COL,2000
sydney-2000,75kg women,Women,SILVER,Ruth OGBEIFO,Nigeria,NGR,2000
sydney-2000,75kg women,Women,BRONZE,Yi-Hang KUO,Chinese Taipei,TPE,2000
sydney-2000,105kg heavyweight men,Men,GOLD,Hossein TAVAKOLI,Islamic Republic of Iran,IRI,2000
sydney-2000,105kg heavyweight men,Men,SILVER,Alan TSAGAEV,Bulgaria,BUL,2000
sydney-2000,105kg heavyweight men,Men,BRONZE,Asaad Said Saif ASAAD,Qatar,QAT,2000
sydney-2000,105kg superheavyweight men,Men,GOLD,Hossein REZA ZADEH,Islamic Republic of Iran,IRI,2000
sydney-2000,105kg superheavyweight men,Men,SILVER,Ronny WELLER,Germany,GER,2000
sydney-2000,105kg superheavyweight men,Men,BRONZE,Andrey CHEMERKIN,Russian Federation,RUS,2000
sydney-2000,63kg women,Women,GOLD,Xiaomin CHEN,People's Republic of China,CHN,2000
sydney-2000,63kg women,Women,SILVER,Valentina POPOVA,Russian Federation,RUS,2000
sydney-2000,63kg women,Women,BRONZE,Ioanna CHATZIIOANNOU,Greece,GRE,2000
sydney-2000,85kg men,Men,GOLD,Pyrros DIMAS,Greece,GRE,2000
sydney-2000,85kg men,Men,SILVER,Marc HUSTER,Germany,GER,2000
sydney-2000,85kg men,Men,BRONZE,George ASANIDZE,Georgia,GEO,2000
sydney-2000,56kg men,Men,GOLD,Halil MUTLU,Turkey,TUR,2000
sydney-2000,56kg men,Men,SILVER,Wenxiong WU,People's Republic of China,CHN,2000
sydney-2000,56kg men,Men,BRONZE,Xiangxiang ZHANG,People's Republic of China,CHN,2000
sydney-2000,69kg men,Men,GOLD,Galabin BOEVSKI,Bulgaria,BUL,2000
sydney-2000,69kg men,Men,SILVER,Georgi Markov,Bulgaria,BUL,2000
sydney-2000,69kg men,Men,BRONZE,Sergei LAVRENOV,Belarus,BLR,2000
sydney-2000,53kg women,Women,GOLD,Xia YANG,People's Republic of China,CHN,2000
sydney-2000,53kg women,Women,SILVER,Feng-Ying LI,Chinese Taipei,TPE,2000
sydney-2000,53kg women,Women,BRONZE,Winarni Binti SLAMET,Indonesia,INA,2000
atlanta-1996,99  108kg heavyweight men,Men,GOLD,Timour TAIMAZOV,Ukraine,UKR,1996
atlanta-1996,99  108kg heavyweight men,Men,SILVER,Serguei SYRTSOV,Russian Federation,RUS,1996
atlanta-1996,99  108kg heavyweight men,Men,BRONZE,Nicu VLAD,Romania,ROU,1996
atlanta-1996,91 - 99kg (first-heavyweight) men,Men,GOLD,Akakios KAKIASVILIS,Greece,GRE,1996
atlanta-1996,91 - 99kg (first-heavyweight) men,Men,SILVER,Anatoli KHRAPATY,Kazakhstan,KAZ,1996
atlanta-1996,91 - 99kg (first-heavyweight) men,Men,BRONZE,Denys Hotfrid,Ukraine,UKR,1996
atlanta-1996,64  70kg lightweight men,Men,GOLD,Xugang ZHAN,People's Republic of China,CHN,1996
atlanta-1996,64  70kg lightweight men,Men,SILVER,Myong Nam KIM,Democratic People's Republic of Korea,PRK,1996
atlanta-1996,64  70kg lightweight men,Men,BRONZE,Attila FERI,Hungary,HUN,1996
atlanta-1996,70  76kg middleweight men,Men,GOLD,Pablo LARA,Cuba,CUB,1996
atlanta-1996,70  76kg middleweight men,Men,SILVER,Yoto Vassilev YOTOV,Bulgaria,BUL,1996
atlanta-1996,70  76kg middleweight men,Men,BRONZE,Chol-Ho Chon,Democratic People's Republic of Korea,PRK,1996
atlanta-1996,54kg flyweight men,Men,GOLD,Halil MUTLU,Turkey,TUR,1996
atlanta-1996,54kg flyweight men,Men,SILVER,Xiangsen ZHANG,People's Republic of China,CHN,1996
atlanta-1996,54kg flyweight men,Men,BRONZE,Sevdalin MINCHEV,Bulgaria,BUL,1996
atlanta-1996,83 - 91kg middle-heavyweight men,Men,GOLD,Aleksey PETROV,Russian Federation,RUS,1996
atlanta-1996,83 - 91kg middle-heavyweight men,Men,SILVER,Leonidas KOKAS,Greece,GRE,1996
atlanta-1996,83 - 91kg middle-heavyweight men,Men,BRONZE,Oliver CARUSO,Germany,GER,1996
atlanta-1996,59  64kg featherweight men,Men,GOLD,Naim Süleymanoğlu,Turkey,TUR,1996
atlanta-1996,59  64kg featherweight men,Men,SILVER,Valerios LEONIDIS,Greece,GRE,1996
atlanta-1996,59  64kg featherweight men,Men,BRONZE,Jiangang XIAO,People's Republic of China,CHN,1996
atlanta-1996,108kg super heavyweight men,Men,GOLD,Andrey CHEMERKIN,Russian Federation,RUS,1996
atlanta-1996,108kg super heavyweight men,Men,SILVER,Ronny WELLER,Germany,GER,1996
atlanta-1996,108kg super heavyweight men,Men,BRONZE,Stefan Botev Khristov,Australia,AUS,1996
